,Value,Date,State
406,29.4,2021/05/10,CT
407,30.8,2021/05/10,DE
408,32.9,2021/05/10,FL
409,29.5,2021/05/10,GA
410,23.2,2021/05/10,HI
411,27.7,2021/05/10,IA
412,25.8,2021/05/10,ID
413,29.8,2021/05/10,IL
414,27.4,2021/05/10,IN
415,29.7,2021/05/10,KS
416,35.2,2021/05/10,KY
417,34.3,2021/05/10,LA
418,29.0,2021/05/10,MA
419,27.7,2021/05/10,MD
420,27.3,2021/05/10,ME
421,31.0,2021/05/10,MI
422,24.1,2021/05/10,MN
423,30.9,2021/05/10,MO
424,25.7,2021/05/10,MS
425,24.1,2021/05/10,MT
426,33.5,2021/05/10,NC
427,24.8,2021/05/10,ND
428,31.6,2021/05/10,NE
429,26.3,2021/05/10,NH
430,27.8,2021/05/10,NJ
431,28.4,2021/05/10,NM
432,29.2,2021/05/10,NV
433,31.6,2021/05/10,NY
434,31.8,2021/05/10,OH
435,34.3,2021/05/10,OK
436,32.4,2021/05/10,OR
437,27.3,2021/05/10,PA
438,24.5,2021/05/10,RI
439,30.0,2021/05/10,SC
440,24.4,2021/05/10,SD
441,29.8,2021/05/10,TN
442,33.1,2021/05/10,TX
443,30.1,2021/05/10,UT
444,27.3,2021/05/10,VA
445,28.0,2021/05/10,VT
446,32.6,2021/05/10,WA
447,26.4,2021/05/10,WI
448,31.0,2021/05/10,WV
449,27.2,2021/05/10,WY
450,29.3,2021/05/24,AK
451,28.0,2021/05/24,AL
452,33.7,2021/05/24,AR
453,27.9,2021/05/24,AZ
454,32.3,2021/05/24,CA
455,33.1,2021/05/24,CO
456,32.4,2021/05/24,CT
457,26.1,2021/05/24,DE
458,28.9,2021/05/24,FL
459,30.9,2021/05/24,GA
460,25.5,2021/05/24,HI
461,26.2,2021/05/24,IA
462,28.9,2021/05/24,ID
463,29.1,2021/05/24,IL
464,27.9,2021/05/24,IN
465,25.1,2021/05/24,KS
466,31.4,2021/05/24,KY
467,33.3,2021/05/24,LA
468,28.0,2021/05/24,MA
469,27.7,2021/05/24,MD
470,26.2,2021/05/24,ME
471,28.8,2021/05/24,MI
472,24.7,2021/05/24,MN
473,26.7,2021/05/24,MO
474,32.3,2021/05/24,MS
475,27.1,2021/05/24,MT
476,28.1,2021/05/24,NC
477,23.2,2021/05/24,ND
478,25.3,2021/05/24,NE
479,27.5,2021/05/24,NH
480,26.3,2021/05/24,NJ
481,29.1,2021/05/24,NM
482,28.4,2021/05/24,NV
483,32.4,2021/05/24,NY
484,28.5,2021/05/24,OH
485,33.0,2021/05/24,OK
486,32.6,2021/05/24,OR
487,30.2,2021/05/24,PA
488,26.4,2021/05/24,RI
489,30.1,2021/05/24,SC
490,24.3,2021/05/24,SD
491,33.5,2021/05/24,TN
492,32.4,2021/05/24,TX
493,27.7,2021/05/24,UT
494,32.3,2021/05/24,VA
495,28.0,2021/05/24,VT
496,31.3,2021/05/24,WA
497,29.9,2021/05/24,WI
498,31.6,2021/05/24,WV
499,32.3,2021/05/24,WY
500,26.9,2021/06/07,AK
501,31.8,2021/06/07,AL
502,32.9,2021/06/07,AR
503,31.8,2021/06/07,AZ
504,30.7,2021/06/07,CA
505,30.3,2021/06/07,CO
506,23.6,2021/06/07,CT
507,27.4,2021/06/07,DE
508,28.0,2021/06/07,FL
509,32.2,2021/06/07,GA
510,29.3,2021/06/07,HI
511,27.8,2021/06/07,IA
512,23.9,2021/06/07,ID
513,28.2,2021/06/07,IL
514,29.3,2021/06/07,IN
515,25.4,2021/06/07,KS
516,28.4,2021/06/07,KY
517,34.2,2021/06/07,LA
518,27.2,2021/06/07,MA
519,26.6,2021/06/07,MD
520,28.0,2021/06/07,ME
521,23.1,2021/06/07,MI
522,26.6,2021/06/07,MN
523,33.6,2021/06/07,MO
524,32.3,2021/06/07,MS
525,22.1,2021/06/07,MT
526,31.8,2021/06/07,NC
527,27.0,2021/06/07,ND
528,22.6,2021/06/07,NE
529,33.4,2021/06/07,NH
530,30.2,2021/06/07,NJ
531,32.8,2021/06/07,NM
532,36.5,2021/06/07,NV
533,27.7,2021/06/07,NY
534,30.4,2021/06/07,OH
535,31.2,2021/06/07,OK
536,32.8,2021/06/07,OR
537,29.8,2021/06/07,PA
538,27.0,2021/06/07,RI
539,30.8,2021/06/07,SC
540,25.5,2021/06/07,SD
541,29.2,2021/06/07,TN
542,32.2,2021/06/07,TX
543,29.0,2021/06/07,UT
544,29.9,2021/06/07,VA
545,25.9,2021/06/07,VT
546,32.4,2021/06/07,WA
547,22.3,2021/06/07,WI
548,31.8,2021/06/07,WV
549,24.2,2021/06/07,WY
550,31.8,2021/06/21,AK
551,29.5,2021/06/21,AL
552,34.5,2021/06/21,AR
553,32.0,2021/06/21,AZ
554,31.5,2021/06/21,CA
555,28.3,2021/06/21,CO
556,30.6,2021/06/21,CT
557,31.4,2021/06/21,DE
558,34.0,2021/06/21,FL
559,33.6,2021/06/21,GA
560,24.9,2021/06/21,HI
561,32.4,2021/06/21,IA
562,29.5,2021/06/21,ID
563,29.4,2021/06/21,IL
